Timestamp (UTC),Stock Value
2024-03-22 08:54:18.138000+01:00,21458
2024-03-22 08:54:33.139000+01:00,21458
2024-03-22 08:54:48.129000+01:00,21458
2024-03-22 08:55:03.132000+01:00,21458
2024-03-22 08:55:25.133000+01:00,21458
2024-03-22 08:55:36.766000+01:00,21458
2024-03-22 08:55:47.773000+01:00,21458
2024-03-22 08:56:02.769000+01:00,21458
2024-03-22 08:56:17.771000+01:00,21458
2024-03-22 08:56:32.772000+01:00,21458
2024-03-22 08:56:47.765000+01:00,21458
2024-03-22 08:57:03.141000+01:00,21458
2024-03-22 08:57:18.136000+01:00,21458
2024-03-22 08:57:33.129000+01:00,21458
2024-03-22 08:57:48.138000+01:00,21458
2024-03-22 08:58:25.136000+01:00,21458
2024-03-22 08:59:25.134000+01:00,21458
2024-03-22 09:00:25.135000+01:00,21458
2024-03-22 09:01:25.131000+01:00,14720
2024-03-22 09:02:25.147000+01:00,12529
2024-03-22 09:03:23.869000+01:00,11833
2024-03-22 09:03:33.140000+01:00,11521
2024-03-22 09:03:48.127000+01:00,11521
2024-03-22 09:04:03.229000+01:00,11307
2024-03-22 09:04:18.133000+01:00,11307
2024-03-22 09:05:25.134000+01:00,10991
2024-03-22 09:06:25.137000+01:00,10802
2024-03-22 09:07:25.139000+01:00,10750
2024-03-22 09:07:42.367000+01:00,10727
2024-03-22 09:07:47.768000+01:00,10591
2024-03-22 09:08:03.132000+01:00,10552
2024-03-22 09:08:18.135000+01:00,10532
2024-03-22 09:08:33.130000+01:00,10522
2024-03-22 09:08:48.143000+01:00,10492
2024-03-22 09:09:25.135000+01:00,10331
2024-03-22 09:10:25.136000+01:00,10232
2024-03-22 09:11:25.133000+01:00,10122
2024-03-22 09:12:25.138000+01:00,10016
2024-03-22 09:13:25.135000+01:00,9889
2024-03-22 09:14:25.132000+01:00,9747
2024-03-22 09:14:32.765000+01:00,9747
2024-03-22 09:14:48.140000+01:00,9743
2024-03-22 09:15:03.140000+01:00,9725
2024-03-22 09:15:18.133000+01:00,9715
2024-03-22 09:15:33.126000+01:00,9713
2024-03-22 09:16:25.139000+01:00,9596
2024-03-22 09:17:25.138000+01:00,9500
2024-03-22 09:18:25.140000+01:00,9422
2024-03-22 09:19:25.135000+01:00,9593
2024-03-22 09:20:25.141000+01:00,9573
2024-03-22 09:21:25.143000+01:00,9532
2024-03-22 09:22:25.138000+01:00,9498
2024-03-22 09:23:25.132000+01:00,9473
2024-03-22 09:24:25.129000+01:00,9416
2024-03-22 09:25:25.146000+01:00,9405
2024-03-22 09:26:25.140000+01:00,9299
2024-03-22 09:27:25.133000+01:00,9298
2024-03-22 09:28:12.339000+01:00,9285
2024-03-22 09:28:17.772000+01:00,9285
2024-03-22 09:28:32.772000+01:00,9281
2024-03-22 09:28:47.767000+01:00,9281
2024-03-22 09:29:03.133000+01:00,9281
2024-03-22 09:29:18.132000+01:00,9277
2024-03-22 09:29:33.133000+01:00,9277
2024-03-22 09:29:48.130000+01:00,9077
2024-03-22 09:30:25.142000+01:00,9071
2024-03-22 09:31:25.136000+01:00,9024
2024-03-22 09:32:25.137000+01:00,8995
2024-03-22 09:33:25.139000+01:00,8995
2024-03-22 09:33:39.568000+01:00,8972
2024-03-22 09:33:47.772000+01:00,8972
2024-03-22 09:34:03.129000+01:00,8972
2024-03-22 09:34:18.131000+01:00,8972
2024-03-22 09:34:33.141000+01:00,8972
2024-03-22 09:34:48.134000+01:00,8972
2024-03-22 09:35:25.132000+01:00,8972
2024-03-22 09:36:25.142000+01:00,8936
2024-03-22 09:37:25.129000+01:00,8935
2024-03-22 09:38:25.136000+01:00,8801
2024-03-22 09:39:25.133000+01:00,8738
2024-03-22 09:40:25.133000+01:00,8700
2024-03-22 09:41:00.953000+01:00,8682
2024-03-22 09:41:02.771000+01:00,8682
2024-03-22 09:41:17.767000+01:00,8682
2024-03-22 09:41:33.139000+01:00,8682
2024-03-22 09:41:48.131000+01:00,8682
2024-03-22 09:42:03.133000+01:00,8620
2024-03-22 09:42:18.137000+01:00,8600
2024-03-22 09:43:25.135000+01:00,8574
2024-03-22 09:44:25.140000+01:00,8550
2024-03-22 09:45:25.129000+01:00,8542
2024-03-22 09:46:25.130000+01:00,8542
2024-03-22 09:47:25.129000+01:00,8532
2024-03-22 09:48:25.129000+01:00,8522
2024-03-22 09:49:25.130000+01:00,8488
2024-03-22 09:50:25.128000+01:00,8468
2024-03-22 09:51:25.128000+01:00,8468
2024-03-22 09:52:25.129000+01:00,8468
2024-03-22 09:53:25.129000+01:00,8464
